 BRA05 4   13070      Pw    1.9988 0.0100  5.0  0.0 4 0  4.21e-08 earthnote 1599261973.96114 1                                                                                                                      
 BRA05 4   13071      Pw    1.9427 0.0100  5.0  0.0 4 0  4.27e-08 earthnote 1599261943.72060 1                                                                                                                      
 BRA05 4   13072      Pw    1.9190 0.0100  5.0  0.0 4 0  4.34e-08 earthnote 1599261942.91524 1                                                                                                                      
 BRA05 4   13073      Pw    1.8963 0.0100  5.0  0.0 4 0  4.41e-08 earthnote 1599261942.00868 1                                                                                                                      
 BRA05 4   13074      Pw    1.8843 0.0100  5.0  0.0 4 0  4.50e-08 earthnote 1599261941.20850 1                                                                                                                      
 BRA05 4   13075      Pw    1.8772 0.0100  5.0  0.0 4 0  4.59e-08 earthnote 1599261940.19459 1                                                                                                                      
 BRA05 4   13076      Pw    1.8856 0.0100  5.0  0.0 4 0  4.69e-08 earthnote 1599261939.10941 1                                                                                                                      
 BRA05 4   13077      Pw    1.9191 0.0100  5.0  0.0 4 0  4.79e-08 earthnote 1599261938.18253 1                                                                                                                      
 BRA05 4   13078      Pw    1.9542 0.0100  5.0  0.0 4 0  4.90e-08 earthnote 1599261937.21323 1                                                                                                                      
 BRA05 3   14047      Pw    2.2236 0.0100  5.0  0.0 4 0  1.98e-07 earthnote 1599204944.25189 1                                                                                                                      
 BRA05 4   14048      Pw    2.1726 0.0100  5.0  0.0 4 0  4.81e-08 earthnote 1599261802.46144 1                                                                                                                      
 BRA05 4   14049      Pw    2.1325 0.0100  5.0  0.0 4 0  4.68e-08 earthnote 1599261803.98561 1                                                                                                                      
 BRA05 4   14050      Pw    2.0897 0.0100  5.0  0.0 4 0  4.55e-08 earthnote 1599261807.74203 1                                                                                                                      
 BRA05 3   14051      Pw    2.0554 0.0100  5.0  0.0 4 0  1.77e-07 earthnote 1599204951.21301 1                                                                                                                      
 BRA05 3   14052      Pw    2.0357 0.0100  5.0  0.0 4 0  1.72e-07 earthnote 1599204952.95771 1                                                                                                                      
 BRA05 3   14053      Pw    1.9895 0.0100  5.0  0.0 4 0  1.68e-07 earthnote 1599204954.16222 1                                                                                                                      
 BRA05 3   14054      Pw    1.9401 0.0100  5.0  0.0 4 0  1.64e-07 earthnote 1599204955.55517 1                                                                                                                      
 BRA05 3   14055      Pw    1.8742 0.0100  5.0  0.0 4 0  1.60e-07 earthnote 1599204956.98097 1                                                                                                                      
 BRA05 3   14056      Pw    1.8260 0.0100  5.0  0.0 4 0  1.56e-07 earthnote 1599204958.81565 1                                                                                                                      
 BRA05 3   14057      Pw    1.7751 0.0100  5.0  0.0 4 0  1.53e-07 earthnote 1599204960.22290 1                                                                                                                      
 BRA05 3   14058      Pw    1.7308 0.0100  5.0  0.0 4 0  1.50e-07 earthnote 1599204961.54913 1                                                                                                                      
 BRA05 3   14059      Pw    1.7097 0.0100  5.0  0.0 4 0  1.48e-07 earthnote 1599204962.85421 1                                                                                                                      
 BRA05 3   14060      Pw    1.6901 0.0100  5.0  0.0 4 0  1.46e-07 earthnote 1599204964.45743 1                                                                                                                      
 BRA05 3   14061      Pw    1.7030 0.0100  5.0  0.0 4 0  1.44e-07 earthnote 1599204965.88327 1                                                                                                                      
 BRA05 3   14062      Pw    1.7120 0.0100  5.0  0.0 4 0  1.43e-07 earthnote 1599204967.32501 1                                                                                                                      
 BRA05 3   14063      Pw    1.7303 0.0100  5.0  0.0 4 0  1.42e-07 earthnote 1599204968.93703 1                                                                                                                      
 BRA05 3   14064      Pw    1.7569 0.0100  5.0  0.0 4 0  1.42e-07 earthnote 1599204970.74797 1                                                                                                                      
 BRA05 3   14065      Pw    1.7861 0.0100  5.0  0.0 4 0  1.42e-07 earthnote 1599204973.14152 1                                                                                                                      
 BRA05 3   14066      Pw    1.8257 0.0100  5.0  0.0 4 0  1.42e-07 earthnote 1599204975.20256 1                                                                                                                      
 BRA05 3   14067      Pw    1.8758 0.0100  5.0  0.0 4 0  1.43e-07 earthnote 1599204976.73262 1                                                                                                                      
 BRA05 3   14068      Pw    1.9162 0.0100  5.0  0.0 4 0  1.45e-07 earthnote 1599204978.13465 1                                                                                                                      
 BRA05 3   14069      Pw    1.9523 0.0100  5.0  0.0 4 0  1.47e-07 earthnote 1599204979.73426 1                                                                                                                      
