#Orca Tomo Shot File
#shotnumber date time sourceLat sourceLon shipLat shipLon waterDepth sciTag
001001 2019-01-26 20:39:36.924927 -62.550278 -58.533075 -62.549763 -58.531554 1625.9 BRAVOSEIS
001002 2019-01-26 20:41:19.451692 -62.549231 -58.529925 -62.548696 -58.528411 1626.4 BRAVOSEIS
001003 2019-01-26 20:42:59.537377 -62.548161 -58.526808 -62.547627 -58.525299 1626.3 BRAVOSEIS
001004 2019-01-26 20:44:39.786085 -62.547103 -58.523667 -62.546573 -58.522162 1626.5 BRAVOSEIS
001005 2019-01-26 20:46:18.694163 -62.546042 -58.520536 -62.545514 -58.519024 1626.3 BRAVOSEIS
001006 2019-01-26 20:47:54.413321 -62.544992 -58.517386 -62.544463 -58.515859 1626.7 BRAVOSEIS
001007 2019-01-26 20:49:31.162228 -62.543939 -58.514214 -62.543404 -58.512696 1626.3 BRAVOSEIS
001008 2019-01-26 20:51:07.004347 -62.542886 -58.511069 -62.542358 -58.509574 1626.1 BRAVOSEIS
001009 2019-01-26 20:52:42.506941 -62.541839 -58.507914 -62.541304 -58.506418 1626.1 BRAVOSEIS
001010 2019-01-26 20:54:18.046771 -62.540783 -58.504767 -62.540240 -58.503262 1626.9 BRAVOSEIS
001011 2019-01-26 20:55:53.282098 -62.539733 -58.501614 -62.539215 -58.500102 1627.9 BRAVOSEIS
001012 2019-01-26 20:57:28.746700 -62.538708 -58.498428 -62.538175 -58.496935 1629.0 BRAVOSEIS
001013 2019-01-26 20:59:04.896786 -62.537644 -58.495281 -62.537108 -58.493798 1630.5 BRAVOSEIS
001014 2019-01-26 21:00:40.438397 -62.536592 -58.492136 -62.536060 -58.490650 1630.7 BRAVOSEIS
001015 2019-01-26 21:02:15.907378 -62.535539 -58.488994 -62.535000 -58.487505 1629.5 BRAVOSEIS
001016 2019-01-26 21:03:50.936014 -62.534486 -58.485864 -62.533948 -58.484363 1628.2 BRAVOSEIS
001017 2019-01-26 21:05:26.860892 -62.533425 -58.482725 -62.532890 -58.481212 1628.4 BRAVOSEIS
001018 2019-01-26 21:07:02.832634 -62.532372 -58.479575 -62.531837 -58.478048 1630.3 BRAVOSEIS
001019 2019-01-26 21:08:38.505791 -62.531331 -58.476408 -62.530788 -58.474887 1631.8 BRAVOSEIS
001020 2019-01-26 21:10:14.574618 -62.530267 -58.473264 -62.529739 -58.471776 1632.8 BRAVOSEIS
001021 2019-01-26 21:11:50.154617 -62.529206 -58.470119 -62.528676 -58.468632 1632.5 BRAVOSEIS
001022 2019-01-26 21:13:25.984198 -62.528139 -58.466994 -62.527614 -58.465472 1631.9 BRAVOSEIS
001023 2019-01-26 21:15:01.931826 -62.527089 -58.463853 -62.526569 -58.462340 1631.7 BRAVOSEIS
001024 2019-01-26 21:16:37.567832 -62.526028 -58.460719 -62.525525 -58.459182 1631.8 BRAVOSEIS
001025 2019-01-26 21:18:13.709659 -62.525014 -58.457522 -62.524493 -58.456001 1631.9 BRAVOSEIS
001026 2019-01-26 21:19:49.806400 -62.523975 -58.454339 -62.523437 -58.452831 1630.2 BRAVOSEIS
001027 2019-01-26 21:21:25.223110 -62.522900 -58.451228 -62.522380 -58.449728 1629.5 BRAVOSEIS
001028 2019-01-26 21:23:00.456667 -62.521853 -58.448072 -62.521334 -58.446569 1628.5 BRAVOSEIS
001029 2019-01-26 21:24:36.216585 -62.520808 -58.444919 -62.520286 -58.443405 1627.7 BRAVOSEIS
001030 2019-01-26 21:26:11.414842 -62.519767 -58.441764 -62.519232 -58.440264 1627.0 BRAVOSEIS
001031 2019-01-26 21:27:47.374511 -62.518711 -58.438617 -62.518165 -58.437114 1623.4 BRAVOSEIS
001032 2019-01-26 21:29:23.426827 -62.517658 -58.435472 -62.517121 -58.433987 1622.0 BRAVOSEIS
001033 2019-01-26 21:30:59.387768 -62.516608 -58.432322 -62.516062 -58.430828 1621.7 BRAVOSEIS
001034 2019-01-26 21:32:35.772812 -62.515550 -58.429189 -62.515002 -58.427691 1620.0 BRAVOSEIS
001035 2019-01-26 21:34:12.274006 -62.514497 -58.426039 -62.513954 -58.424566 1615.0 BRAVOSEIS
001036 2019-01-26 21:35:48.387834 -62.513447 -58.422894 -62.512900 -58.421412 1610.6 BRAVOSEIS
001037 2019-01-26 21:37:24.063915 -62.512392 -58.419756 -62.511844 -58.418281 1608.0 BRAVOSEIS
001038 2019-01-26 21:39:00.220238 -62.511336 -58.416611 -62.510792 -58.415118 1607.2 BRAVOSEIS
001039 2019-01-26 21:40:36.730672 -62.510292 -58.413453 -62.509744 -58.411982 1604.6 BRAVOSEIS
001040 2019-01-26 21:42:12.801719 -62.509242 -58.410308 -62.508686 -58.408839 1602.2 BRAVOSEIS
001041 2019-01-26 21:43:49.178272 -62.508164 -58.407192 -62.507622 -58.405697 1597.2 BRAVOSEIS
001042 2019-01-26 21:45:25.126974 -62.507103 -58.404067 -62.506589 -58.402543 1585.1 BRAVOSEIS
001043 2019-01-26 21:47:01.193971 -62.506089 -58.400864 -62.505553 -58.399370 1576.1 BRAVOSEIS
001044 2019-01-26 21:48:37.056956 -62.505039 -58.397714 -62.504498 -58.396217 1572.6 BRAVOSEIS
001045 2019-01-26 21:50:13.134240 -62.503986 -58.394561 -62.503444 -58.393073 1570.0 BRAVOSEIS
001046 2019-01-26 21:51:48.704239 -62.502928 -58.391422 -62.502384 -58.389925 1568.8 BRAVOSEIS
001047 2019-01-26 21:53:24.271165 -62.501864 -58.388289 -62.501332 -58.386808 1568.0 BRAVOSEIS
001048 2019-01-26 21:55:00.091027 -62.500814 -58.385142 -62.500276 -58.383656 1564.5 BRAVOSEIS
001049 2019-01-26 21:56:35.440981 -62.499747 -58.382019 -62.499217 -58.380496 1562.8 BRAVOSEIS
001050 2019-01-26 21:58:10.981818 -62.498725 -58.378836 -62.498184 -58.377323 1553.6 BRAVOSEIS
001051 2019-01-26 21:59:46.334327 -62.497672 -58.375692 -62.497130 -58.374234 1546.5 BRAVOSEIS
001052 2019-01-26 22:01:21.959398 -62.496592 -58.372583 -62.496062 -58.371089 1540.6 BRAVOSEIS
001053 2019-01-26 22:02:57.649119 -62.495536 -58.369444 -62.495006 -58.367958 1538.6 BRAVOSEIS
001054 2019-01-26 22:04:33.101485 -62.494494 -58.366278 -62.493967 -58.364775 1538.7 BRAVOSEIS
001055 2019-01-26 22:06:08.891315 -62.493447 -58.363125 -62.492919 -58.361639 1539.7 BRAVOSEIS
001056 2019-01-26 22:07:44.858180 -62.492403 -58.359972 -62.491866 -58.358499 1542.8 BRAVOSEIS
001057 2019-01-26 22:09:20.694293 -62.491344 -58.356833 -62.490796 -58.355358 1544.0 BRAVOSEIS
001058 2019-01-26 22:10:56.452835 -62.490272 -58.353722 -62.489733 -58.352209 1547.2 BRAVOSEIS
001059 2019-01-26 22:12:31.743070 -62.489231 -58.350586 -62.488690 -58.349097 1543.4 BRAVOSEIS
001060 2019-01-26 22:14:07.827536 -62.488194 -58.347408 -62.487643 -58.345932 1544.2 BRAVOSEIS
001061 2019-01-26 22:15:43.400857 -62.487133 -58.344267 -62.486576 -58.342786 1544.3 BRAVOSEIS
001062 2019-01-26 22:17:19.323223 -62.486058 -58.341156 -62.485515 -58.339689 1548.5 BRAVOSEIS
001063 2019-01-26 22:18:54.647789 -62.484981 -58.338058 -62.484453 -58.336561 1554.4 BRAVOSEIS
001064 2019-01-26 22:20:29.766634 -62.483917 -58.334936 -62.483401 -58.333420 1556.3 BRAVOSEIS
001065 2019-01-26 22:22:05.060804 -62.482881 -58.331764 -62.482363 -58.330231 1555.1 BRAVOSEIS
001066 2019-01-26 22:23:40.023322 -62.481850 -58.328594 -62.481319 -58.327068 1560.1 BRAVOSEIS
001067 2019-01-26 22:25:15.293287 -62.480797 -58.325444 -62.480271 -58.323949 1565.1 BRAVOSEIS
001068 2019-01-26 22:26:50.313000 -62.479736 -58.322322 -62.479208 -58.320813 1566.5 BRAVOSEIS
001069 2019-01-26 22:28:26.313667 -62.478700 -58.319136 -62.478166 -58.317632 1575.8 BRAVOSEIS
001070 2019-01-26 22:30:01.721667 -62.477644 -58.315997 -62.477114 -58.314513 1578.4 BRAVOSEIS
