#Rift Lines MCS Shot File
#shotnumber date time sourceLat sourceLon shipLat shipLon waterDepth sciTag
300101 2019-01-31 00:49:38.003290 -62.378361 -58.252136 -62.378885 -58.253676 1832.4 BRAVOSEIS
300102 2019-01-31 00:49:56.355364 -62.378562 -58.252718 -62.379079 -58.254277 1822.4 BRAVOSEIS
300103 2019-01-31 00:50:14.727399 -62.378764 -58.253290 -62.379270 -58.254862 1825.3 BRAVOSEIS
300104 2019-01-31 00:50:33.063335 -62.378960 -58.253887 -62.379474 -58.255463 1808.4 BRAVOSEIS
300105 2019-01-31 00:50:51.556123 -62.379151 -58.254476 -62.379674 -58.256044 1810.0 BRAVOSEIS
300106 2019-01-31 00:51:10.233510 -62.379349 -58.255072 -62.379872 -58.256637 1806.1 BRAVOSEIS
300107 2019-01-31 00:51:28.535052 -62.379549 -58.255656 -62.380068 -58.257224 1804.6 BRAVOSEIS
300108 2019-01-31 00:51:46.791848 -62.379748 -58.256235 -62.380266 -58.257814 1804.7 BRAVOSEIS
300109 2019-01-31 00:52:05.105953 -62.379945 -58.256825 -62.380467 -58.258400 1815.5 BRAVOSEIS
300110 2019-01-31 00:52:23.344681 -62.380143 -58.257413 -62.380661 -58.258955 1806.8 BRAVOSEIS
300111 2019-01-31 00:52:41.459054 -62.380340 -58.257998 -62.380861 -58.259535 1810.0 BRAVOSEIS
300112 2019-01-31 00:52:59.714430 -62.380542 -58.258575 -62.381063 -58.260116 1813.0 BRAVOSEIS
300113 2019-01-31 00:53:17.886559 -62.380748 -58.259154 -62.381260 -58.260705 1819.0 BRAVOSEIS
300114 2019-01-31 00:53:36.074437 -62.380946 -58.259736 -62.381453 -58.261295 1816.8 BRAVOSEIS
300115 2019-01-31 00:53:54.337462 -62.381146 -58.260321 -62.381647 -58.261890 1810.1 BRAVOSEIS
300116 2019-01-31 00:54:12.586349 -62.381344 -58.260911 -62.381843 -58.262492 1809.2 BRAVOSEIS
300117 2019-01-31 00:54:30.708596 -62.381534 -58.261502 -62.382035 -58.263077 1813.1 BRAVOSEIS
300118 2019-01-31 00:54:49.073763 -62.381724 -58.262104 -62.382234 -58.263665 1814.0 BRAVOSEIS
300119 2019-01-31 00:55:07.390848 -62.381913 -58.262707 -62.382431 -58.264259 1813.6 BRAVOSEIS
300120 2019-01-31 00:55:25.578336 -62.382113 -58.263283 -62.382630 -58.264850 1816.7 BRAVOSEIS
300121 2019-01-31 00:55:43.621256 -62.382312 -58.263868 -62.382826 -58.265434 1813.1 BRAVOSEIS
300122 2019-01-31 00:56:01.987520 -62.382514 -58.264453 -62.383024 -58.266023 1811.5 BRAVOSEIS
300123 2019-01-31 00:56:20.375549 -62.382699 -58.265055 -62.383225 -58.266612 1816.9 BRAVOSEIS
300124 2019-01-31 00:56:38.518483 -62.382905 -58.265640 -62.383425 -58.267205 1820.6 BRAVOSEIS
300125 2019-01-31 00:56:56.677366 -62.383098 -58.266222 -62.383613 -58.267770 1819.2 BRAVOSEIS
300126 2019-01-31 00:57:15.000581 -62.383301 -58.266808 -62.383809 -58.268368 1812.3 BRAVOSEIS
300127 2019-01-31 00:57:33.277646 -62.383498 -58.267397 -62.384001 -58.268964 1814.5 BRAVOSEIS
300128 2019-01-31 00:57:51.451209 -62.383689 -58.267995 -62.384200 -58.269554 1811.4 BRAVOSEIS
300129 2019-01-31 00:58:09.638988 -62.383878 -58.268591 -62.384397 -58.270137 1819.2 BRAVOSEIS
300130 2019-01-31 00:58:28.069852 -62.384073 -58.269180 -62.384596 -58.270728 1820.6 BRAVOSEIS
300131 2019-01-31 00:58:46.269114 -62.384267 -58.269773 -62.384799 -58.271313 1799.8 BRAVOSEIS
300132 2019-01-31 00:59:04.556983 -62.384470 -58.270351 -62.384996 -58.271883 1797.0 BRAVOSEIS
300133 2019-01-31 00:59:22.851924 -62.384664 -58.270940 -62.385197 -58.272462 1770.7 BRAVOSEIS
300134 2019-01-31 00:59:40.842936 -62.384868 -58.271519 -62.385402 -58.273033 1757.9 BRAVOSEIS
300135 2019-01-31 00:59:59.165455 -62.385071 -58.272100 -62.385610 -58.273611 1753.0 BRAVOSEIS
300136 2019-01-31 01:00:17.293516 -62.385278 -58.272668 -62.385812 -58.274189 1769.2 BRAVOSEIS
300137 2019-01-31 01:00:35.558521 -62.385485 -58.273243 -62.386016 -58.274777 1740.0 BRAVOSEIS
300138 2019-01-31 01:00:53.699317 -62.385692 -58.273822 -62.386215 -58.275363 1739.3 BRAVOSEIS
300139 2019-01-31 01:01:11.895112 -62.385894 -58.274395 -62.386409 -58.275949 1742.5 BRAVOSEIS
300140 2019-01-31 01:01:30.168793 -62.386099 -58.274970 -62.386603 -58.276536 1740.0 BRAVOSEIS
300141 2019-01-31 01:01:48.496622 -62.386293 -58.275565 -62.386798 -58.277129 1741.5 BRAVOSEIS
300142 2019-01-31 01:02:06.796213 -62.386486 -58.276158 -62.386991 -58.277720 1733.9 BRAVOSEIS
300143 2019-01-31 01:02:25.104255 -62.386676 -58.276758 -62.387192 -58.278316 1730.7 BRAVOSEIS
300144 2019-01-31 01:02:43.206047 -62.386869 -58.277348 -62.387388 -58.278895 1727.0 BRAVOSEIS
300145 2019-01-31 01:03:01.638545 -62.387071 -58.277931 -62.387590 -58.279484 1730.1 BRAVOSEIS
300146 2019-01-31 01:03:19.806220 -62.387266 -58.278517 -62.387786 -58.280064 1720.1 BRAVOSEIS
300147 2019-01-31 01:03:38.207437 -62.387468 -58.279104 -62.387989 -58.280662 1734.9 BRAVOSEIS
300148 2019-01-31 01:03:56.536997 -62.387671 -58.279688 -62.388190 -58.281245 1710.9 BRAVOSEIS
300149 2019-01-31 01:04:14.900767 -62.387870 -58.280262 -62.388390 -58.281831 1711.8 BRAVOSEIS
300150 2019-01-31 01:04:33.405622 -62.388074 -58.280854 -62.388589 -58.282428 1687.0 BRAVOSEIS
300151 2019-01-31 01:04:51.678188 -62.388271 -58.281431 -62.388787 -58.283006 1698.7 BRAVOSEIS
300152 2019-01-31 01:05:10.108901 -62.388467 -58.282023 -62.388985 -58.283597 1694.9 BRAVOSEIS
300153 2019-01-31 01:05:28.384752 -62.388675 -58.282600 -62.389176 -58.284166 1682.5 BRAVOSEIS
300154 2019-01-31 01:05:46.762712 -62.388871 -58.283182 -62.389371 -58.284752 1680.3 BRAVOSEIS
300155 2019-01-31 01:06:05.199321 -62.389071 -58.283772 -62.389569 -58.285344 1680.1 BRAVOSEIS
300156 2019-01-31 01:06:23.532259 -62.389266 -58.284356 -62.389762 -58.285931 1642.5 BRAVOSEIS
300157 2019-01-31 01:06:41.947689 -62.389461 -58.284947 -62.389958 -58.286521 1638.5 BRAVOSEIS
300158 2019-01-31 01:07:00.371214 -62.389654 -58.285544 -62.390154 -58.287113 1633.9 BRAVOSEIS
300159 2019-01-31 01:07:18.833401 -62.389853 -58.286134 -62.390352 -58.287713 1715.6 BRAVOSEIS
300160 2019-01-31 01:07:37.329667 -62.390043 -58.286734 -62.390549 -58.288307 1665.5 BRAVOSEIS
300161 2019-01-31 01:07:55.587955 -62.390237 -58.287319 -62.390741 -58.288893 1607.8 BRAVOSEIS
300162 2019-01-31 01:08:13.914724 -62.390431 -58.287907 -62.390938 -58.289490 1613.2 BRAVOSEIS
300163 2019-01-31 01:08:32.361168 -62.390630 -58.288499 -62.391136 -58.290085 1591.7 BRAVOSEIS
300164 2019-01-31 01:08:50.393114 -62.390820 -58.289098 -62.391339 -58.290669 1591.8 BRAVOSEIS
300165 2019-01-31 01:09:08.697738 -62.391022 -58.289685 -62.391539 -58.291256 1578.8 BRAVOSEIS
300166 2019-01-31 01:09:27.104855 -62.391216 -58.290267 -62.391734 -58.291843 1591.8 BRAVOSEIS
300167 2019-01-31 01:09:45.363038 -62.391415 -58.290854 -62.391931 -58.292431 1583.2 BRAVOSEIS
300168 2019-01-31 01:10:03.461360 -62.391612 -58.291442 -62.392126 -58.293028 1581.8 BRAVOSEIS
300169 2019-01-31 01:10:21.854713 -62.391809 -58.292029 -62.392320 -58.293623 1582.6 BRAVOSEIS
300170 2019-01-31 01:10:40.179593 -62.392000 -58.292624 -62.392506 -58.294186 1591.2 BRAVOSEIS
300171 2019-01-31 01:10:58.281983 -62.392192 -58.293219 -62.392707 -58.294769 1571.3 BRAVOSEIS
300172 2019-01-31 01:11:16.349210 -62.392391 -58.293810 -62.392908 -58.295349 1617.3 BRAVOSEIS
300173 2019-01-31 01:11:34.724139 -62.392590 -58.294385 -62.393100 -58.295941 1570.3 BRAVOSEIS
300174 2019-01-31 01:11:53.132643 -62.392797 -58.294974 -62.393295 -58.296538 1570.4 BRAVOSEIS
300175 2019-01-31 01:12:11.470119 -62.392978 -58.295568 -62.393492 -58.297124 1575.8 BRAVOSEIS
300176 2019-01-31 01:12:29.592253 -62.393177 -58.296165 -62.393693 -58.297710 1580.3 BRAVOSEIS
300177 2019-01-31 01:12:47.733945 -62.393374 -58.296746 -62.393894 -58.298295 1576.4 BRAVOSEIS
300178 2019-01-31 01:13:05.827375 -62.393573 -58.297338 -62.394096 -58.298875 1578.8 BRAVOSEIS
