#Edifice A MCS Shot File
#shotnumber date time sourceLat sourceLon shipLat shipLon waterDepth sciTag
203126 2019-02-01 03:25:56.891160 -62.769772 -59.825843 -62.770569 -59.824997 1082.4 BRAVOSEIS
203127 2019-02-01 03:26:14.678104 -62.770069 -59.825484 -62.770864 -59.824630 1078.1 BRAVOSEIS
203128 2019-02-01 03:26:32.219445 -62.770367 -59.825138 -62.771153 -59.824254 1075.7 BRAVOSEIS
203129 2019-02-01 03:26:49.891424 -62.770660 -59.824781 -62.771445 -59.823881 1072.8 BRAVOSEIS
203130 2019-02-01 03:27:07.435341 -62.770945 -59.824395 -62.771735 -59.823501 1070.9 BRAVOSEIS
203131 2019-02-01 03:27:25.143882 -62.771236 -59.824020 -62.772018 -59.823129 1068.7 BRAVOSEIS
203132 2019-02-01 03:27:42.785137 -62.771523 -59.823639 -62.772307 -59.822755 1067.7 BRAVOSEIS
203133 2019-02-01 03:28:00.486470 -62.771811 -59.823252 -62.772599 -59.822368 1065.0 BRAVOSEIS
203134 2019-02-01 03:28:17.999381 -62.772097 -59.822865 -62.772887 -59.821996 1064.5 BRAVOSEIS
203135 2019-02-01 03:28:35.783109 -62.772385 -59.822485 -62.773181 -59.821621 1063.3 BRAVOSEIS
203136 2019-02-01 03:28:53.583343 -62.772676 -59.822105 -62.773473 -59.821254 1063.6 BRAVOSEIS
203137 2019-02-01 03:29:11.380142 -62.772966 -59.821725 -62.773768 -59.820899 1063.9 BRAVOSEIS
203138 2019-02-01 03:29:29.291296 -62.773253 -59.821352 -62.774067 -59.820543 1066.6 BRAVOSEIS
203139 2019-02-01 03:29:47.251482 -62.773551 -59.820996 -62.774363 -59.820183 1067.4 BRAVOSEIS
203140 2019-02-01 03:30:05.241265 -62.773849 -59.820656 -62.774660 -59.819820 1068.1 BRAVOSEIS
203141 2019-02-01 03:30:23.106359 -62.774143 -59.820301 -62.774953 -59.819453 1070.3 BRAVOSEIS
203142 2019-02-01 03:30:40.834644 -62.774437 -59.819944 -62.775230 -59.819103 1068.9 BRAVOSEIS
203143 2019-02-01 03:30:58.533647 -62.774728 -59.819580 -62.775518 -59.818730 1068.0 BRAVOSEIS
203144 2019-02-01 03:31:16.357333 -62.775018 -59.819204 -62.775812 -59.818365 1065.6 BRAVOSEIS
203145 2019-02-01 03:31:34.197578 -62.775307 -59.818827 -62.776107 -59.818012 1067.5 BRAVOSEIS
203146 2019-02-01 03:31:51.956327 -62.775601 -59.818467 -62.776402 -59.817663 1066.9 BRAVOSEIS
203147 2019-02-01 03:32:09.810942 -62.775895 -59.818118 -62.776695 -59.817303 1064.2 BRAVOSEIS
203148 2019-02-01 03:32:27.508566 -62.776194 -59.817774 -62.776987 -59.816937 1061.6 BRAVOSEIS
