#Orca MCS Shot File Test
#shotnumber date time sourceLat sourceLon shipLat shipLon waterDepth sciTag
101101 2019-01-21 11:48:15.877313 -62.501797 -58.164345 -62.501126 -58.165581 1792.2 BRAVOSEIS
101102 2019-01-21 11:48:31.789868 -62.501522 -58.164743 -62.500858 -58.166001 1792.7 BRAVOSEIS
101103 2019-01-21 11:48:47.691534 -62.501253 -58.165175 -62.500582 -58.166428 1792.8 BRAVOSEIS
101104 2019-01-21 11:49:03.866830 -62.500972 -58.165576 -62.500314 -58.166859 1793.4 BRAVOSEIS
101105 2019-01-21 11:49:20.067451 -62.500694 -58.166000 -62.500043 -58.167296 1794.8 BRAVOSEIS
101106 2019-01-21 11:49:36.553422 -62.500419 -58.166433 -62.499770 -58.167758 1795.2 BRAVOSEIS
101107 2019-01-21 11:49:52.806619 -62.500139 -58.166876 -62.499499 -58.168214 1795.2 BRAVOSEIS
101108 2019-01-21 11:50:08.818193 -62.499881 -58.167333 -62.499230 -58.168651 1795.2 BRAVOSEIS
101109 2019-01-21 11:50:24.935397 -62.499618 -58.167786 -62.498953 -58.169087 1795.1 BRAVOSEIS
101110 2019-01-21 11:50:40.831652 -62.499354 -58.168236 -62.498681 -58.169517 1795.0 BRAVOSEIS
101111 2019-01-21 11:50:56.706174 -62.499081 -58.168673 -62.498403 -58.169931 1794.2 BRAVOSEIS
101112 2019-01-21 11:51:12.703911 -62.498805 -58.169087 -62.498129 -58.170351 1793.7 BRAVOSEIS
101113 2019-01-21 11:51:28.634789 -62.498528 -58.169493 -62.497865 -58.170795 1794.8 BRAVOSEIS
101114 2019-01-21 11:51:44.588488 -62.498244 -58.169903 -62.497608 -58.171196 1793.6 BRAVOSEIS
101115 2019-01-21 11:52:00.575256 -62.497986 -58.170351 -62.497337 -58.171627 1793.5 BRAVOSEIS
101116 2019-01-21 11:52:16.321197 -62.497721 -58.170793 -62.497067 -58.172042 1793.6 BRAVOSEIS
101117 2019-01-21 11:52:32.283256 -62.497442 -58.171202 -62.496788 -58.172461 1793.4 BRAVOSEIS
101118 2019-01-21 11:52:48.304360 -62.497175 -58.171623 -62.496519 -58.172883 1793.3 BRAVOSEIS
101119 2019-01-21 11:53:04.423641 -62.496895 -58.172034 -62.496243 -58.173304 1793.8 BRAVOSEIS
101120 2019-01-21 11:53:20.446169 -62.496620 -58.172455 -62.495968 -58.173737 1793.5 BRAVOSEIS
101121 2019-01-21 11:53:36.504001 -62.496349 -58.172885 -62.495701 -58.174179 1793.3 BRAVOSEIS
101122 2019-01-21 11:53:52.559349 -62.496073 -58.173311 -62.495438 -58.174632 1795.3 BRAVOSEIS
101123 2019-01-21 11:54:08.609735 -62.495804 -58.173745 -62.495170 -58.175080 1792.8 BRAVOSEIS
101124 2019-01-21 11:54:24.368060 -62.495548 -58.174209 -62.494903 -58.175510 1794.0 BRAVOSEIS
101125 2019-01-21 11:54:40.789820 -62.495274 -58.174665 -62.494622 -58.175964 1793.2 BRAVOSEIS
101126 2019-01-21 11:54:56.851475 -62.495007 -58.175112 -62.494351 -58.176410 1793.1 BRAVOSEIS
101127 2019-01-21 11:55:12.790945 -62.494733 -58.175538 -62.494077 -58.176837 1793.2 BRAVOSEIS
101128 2019-01-21 11:55:28.717288 -62.494467 -58.175994 -62.493802 -58.177271 1793.9 BRAVOSEIS
101129 2019-01-21 11:55:44.538426 -62.494201 -58.176430 -62.493534 -58.177699 1794.9 BRAVOSEIS
101130 2019-01-21 11:56:00.408055 -62.493927 -58.176854 -62.493261 -58.178126 1793.2 BRAVOSEIS
101131 2019-01-21 11:56:16.486552 -62.493651 -58.177273 -62.492995 -58.178539 1792.8 BRAVOSEIS
101132 2019-01-21 11:56:32.413186 -62.493382 -58.177707 -62.492725 -58.178965 1794.0 BRAVOSEIS
101133 2019-01-21 11:56:47.955731 -62.493114 -58.178113 -62.492463 -58.179376 1792.3 BRAVOSEIS
101134 2019-01-21 11:57:04.675476 -62.492850 -58.178525 -62.492194 -58.179779 1793.3 BRAVOSEIS
101135 2019-01-21 11:57:22.533630 -62.492582 -58.178952 -62.491912 -58.180187 1792.2 BRAVOSEIS
101136 2019-01-21 11:57:40.383746 -62.492298 -58.179345 -62.491635 -58.180602 1792.0 BRAVOSEIS
101137 2019-01-21 11:57:58.207043 -62.492024 -58.179760 -62.491357 -58.180995 1792.0 BRAVOSEIS
101138 2019-01-21 11:58:16.283111 -62.491741 -58.180162 -62.491070 -58.181384 1791.4 BRAVOSEIS
